achieved_output_tps,cell_id,characterization_sha256,code_commit,completion_rate,config_sha256,failed,finished,itl_p50_ms,itl_p99_ms,kv_imbalance_max,kv_imbalance_mean,kv_imbalance_p99,kv_utilization_max,kv_utilization_mean,kv_utilization_p99,load_multiplier,offered_output_tps,offered_rps,oldest_waiting_age_max,oldest_waiting_age_mean,oldest_waiting_age_p99,phase,prefix_matched_blocks,queue_imbalance_max,queue_imbalance_mean,queue_imbalance_p99,raw_token_count_check,rejected,requests_by_replica_0,requests_by_replica_1,router,runner_sha256,seed,slo_goodput_rps,submitted,system_queue_length_max,system_queue_length_mean,system_queue_length_p99,trace_sha256,ttft_p50_ms,ttft_p99_ms,unfinished,waiting_queue_length_max,waiting_queue_length_mean,waiting_queue_length_p99
57.6,load0.5_seed1_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,d90bbdc5e41c9b61bc927b63e07926c4a0f3f6226cbcab3862be1f98106417f6,0,48,42.50650200992823,250.56419521570206,1.0,0.4141891891891892,1.0,1.0,0.543581081081081,1.0,0.5,57.6,2.4,0,0,0,P0-1,13,4,1.691891891891892,4,1152,0,24,24,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,1.3,48,6,1.9162162162162162,6,1277b6d172b816dcb67a60da9cf3bad241bb0a4faec8f4c71b4b3903a215e3c8,123.45223190883736,2805.4822387670474,0,5,0.4243243243243243,3
57.6,load0.5_seed1_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,6295294d5987ae0d5bcd61db00bcb7bc97727aadc20c664fa19a330b045c6c6b,0,48,44.83924526721239,453.89601176604435,0.875,0.16154485049833886,0.625,1.0,0.6546926910299004,1.0,0.5,57.6,2.4,0,0,0,P0-1,12,3,0.7275747508305648,2,1152,0,21,27,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,1.3,48,6,2.4069767441860463,6,1277b6d172b816dcb67a60da9cf3bad241bb0a4faec8f4c71b4b3903a215e3c8,151.91427400956402,3040.01707981651,0,4,0.5730897009966778,3
57.6,load0.5_seed2_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,e90dbbb5e911750b7c9d27772252b529c2537bc687a13cd25244723fad4eded6,0,48,47.29336779564619,407.9931063763787,1.0,0.32380546075085326,1.0,1.0,0.6815273037542662,1.0,0.5,57.6,2.4,0,0,0,P0-1,15,6,2.2389078498293515,5,1152,0,24,24,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,1.3,48,7,2.737201365187713,7,3c6195714b554a73107b2a440598a778aac35ed38a1007e811a2078b10b9a389,280.8690092836814,3019.927696691205,0,5,0.8532423208191127,5
57.6,load0.5_seed2_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,d0d66cec108c1c84650477d4fa9d63053e22e6bd85a328f9c35424a28ccab073,0,48,31.344309449195862,268.4194203466177,0.875,0.29069148936170214,0.875,1.0,0.4315159574468085,1.0,0.5,57.6,2.4,0,0,0,P0-1,13,2,0.6574468085106383,2,1152,0,28,20,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,1.35,48,6,1.3585106382978724,5,3c6195714b554a73107b2a440598a778aac35ed38a1007e811a2078b10b9a389,83.19345582276583,2763.6904913124936,0,4,0.18404255319148935,2
57.6,load0.5_seed3_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,c8186ba715a091fa558ab61936a0d6f3f3d6ea70d05d1dac621ce193d0e356f8,0,48,29.844695702195168,230.61363212764263,1.0,0.4427710843373494,1.0,1.0,0.4036144578313253,1.0,0.5,57.6,2.4,0,0,0,P0-1,14,3,1.1927710843373494,3,1152,0,24,24,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,3,1.4,48,5,1.2329317269076305,5,b139ecf2f24a7d4a9b039d5433a69bb87241b50daf9a726e6af4dd28db0fafc4,80.90771331141377,1897.6780247067413,0,3,0.12449799196787148,2
57.6,load0.5_seed3_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,fae004905d463f1ccd2ed6a48dd624560dbc8ede8f61f044ef5412956aaa4ad7,0,48,41.18704982101917,308.3390686661005,0.875,0.22268637532133675,0.875,1.0,0.518155526992288,1.0,0.5,57.6,2.4,0,0,0,P0-1,14,2,0.6735218508997429,2,1152,0,26,22,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,3,1.35,48,6,1.6452442159383034,5,b139ecf2f24a7d4a9b039d5433a69bb87241b50daf9a726e6af4dd28db0fafc4,99.08015094697475,2726.3597578865783,0,4,0.2262210796915167,2
86.4,load0.75_seed1_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,923267c426693c07fad301bbe22cf41bdcdbdc6757c493cb28cd6e7752c5ba71,0,72,31.84278216212988,1107.8223323262857,1.0,0.32098765432098764,1.0,1.0,0.729320987654321,1.0,0.75,86.4,3.5999999999999996,0,0,0,P0-1,23,10,3.802469135802469,9,1728,0,36,36,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,1.95,72,11,4.118518518518519,10,fce75bda18874c1c9ccffd10807c57eab12d006060921a4357ee145f3cfedd30,971.813044407301,3501.1986301052893,0,9,2.074074074074074,8
86.4,load0.75_seed1_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,a747461a46ab79fcce146cc5f2b3234e8ef40af261fef75d0f1b5efc5213e33c,0,72,45.08316982537508,319.4831367582083,0.875,0.19973544973544974,0.875,1.0,0.7579365079365079,1.0,0.75,86.4,3.5999999999999996,0,0,0,P0-1,21,8,2.1534391534391535,7,1728,0,27,45,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,2.05,72,10,5.412698412698413,9,fce75bda18874c1c9ccffd10807c57eab12d006060921a4357ee145f3cfedd30,1682.6090625383772,3961.0546538109547,0,8,3.2222222222222223,8
86.4,load0.75_seed2_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,a3e990caab527faa25782a8058c670e9bc63dbf35dd4386f7a8feaafc8c035cc,0,72,50.05124397575855,1674.1550697386251,1.0,0.2883631713554987,1.0,1.0,0.756074168797954,1.0,0.75,86.4,3.5999999999999996,0,0,0,P0-1,22,12,5.649616368286445,11,1728,0,36,36,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,1.7,72,15,6.372122762148337,14,b68519b5a987be1cc31dae10df2feea3aa3b1a47e9398352992c84bcebefe471,2173.434204008016,5629.854998838982,0,12,4.254475703324808,11
86.4,load0.75_seed2_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,7f0bae4af0fc948a7be251014946b6018f7450b64f90dadefed6dd5ad93700d1,0,72,31.793774105608463,213.52587303146692,0.75,0.19303097345132744,0.625,1.0,0.6382743362831859,1.0,0.75,86.4,3.5999999999999996,0,0,0,P0-1,20,3,0.834070796460177,3,1728,0,33,39,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,2.05,72,8,2.523230088495575,7,b68519b5a987be1cc31dae10df2feea3aa3b1a47e9398352992c84bcebefe471,80.28207626193584,2883.2067437076726,0,6,0.6913716814159292,4
86.4,load0.75_seed3_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,431c277fdc5cf31ea730bf862a64e5ea8ac63399,1.0,5446729cf2777dfb913e685ab85ceda22bdd7dfb5a0a381e8f6fa05cb6481f5f,0,72,56.48889485746622,2640.681148376273,1.0,0.27303439803439805,1.0,1.0,0.7289619164619164,1.0,0.75,86.4,3.5999999999999996,0,0,0,P0-1,22,10,5.2137592137592135,9,1728,0,36,36,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,3,1.45,72,19,7.555282555282555,18,fc8fc6fe409c0d36bd1d1594cbd818fb8c9192c429ff85ea9c64afc6d6c26262,2945.1648643654244,7378.604768665712,0,16,5.520884520884521,15
