achieved_output_tps,cell_id,characterization_sha256,code_commit,completion_rate,config_sha256,failed,finished,itl_p50_ms,itl_p99_ms,kv_imbalance_max,kv_imbalance_mean,kv_imbalance_p99,kv_utilization_max,kv_utilization_mean,kv_utilization_p99,offered_output_tps,offered_rps,oldest_waiting_age_max,oldest_waiting_age_mean,oldest_waiting_age_p99,phase,prefix_affinity,prefix_matched_blocks,queue_imbalance_max,queue_imbalance_mean,queue_imbalance_p99,raw_token_count_check,rejected,requests_by_replica_0,requests_by_replica_1,router,runner_sha256,seed,slo_goodput_rps,submitted,system_queue_length_max,system_queue_length_mean,system_queue_length_p99,trace_sha256,ttft_p50_ms,ttft_p99_ms,unfinished,waiting_queue_length_max,waiting_queue_length_mean,waiting_queue_length_p99,workload_shape
86.4,prefill_heavy_seed1_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,bdb6bf89ce64bca946a45ecd75c4f6c718dc6213,1.0,994ed64d9dd78d4520eee279c962ab0a2f299045860cefa16ce87e99ad0773d5,0,96,51.86987482011318,108.97123681381348,1.0,0.2520343580470163,1.0,1.0,0.7347423146473779,1.0,86.4,4.8,0,0,0,P0-2,False,0,8,3.849909584086799,8,1728,0,48,48,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,0.0,96,30,15.653707052441229,29,76a8b49cf8b5dfaafb9ea7a725bbf06c786067fb0e92afd9ae3aab4af635e1af,11967.884567255775,20721.79973789801,0,29,14.178119349005424,28,prefill_heavy
86.4,prefill_heavy_seed1_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,bdb6bf89ce64bca946a45ecd75c4f6c718dc6213,1.0,e2c03714dd313cd356b8cf1a3a5a05aa2b901f87a5dfea34a32e7993743dc599,0,96,58.64618346095085,112.96005547046661,0.625,0.16925,0.625,1.0,0.813375,1.0,86.4,4.8,0,0,0,P0-2,False,0,3,0.606,2,1728,0,47,49,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,0.0,96,29,17.673,29,76a8b49cf8b5dfaafb9ea7a725bbf06c786067fb0e92afd9ae3aab4af635e1af,12739.504734675089,19919.713795712836,0,28,16.041,27,prefill_heavy
86.4,prefill_heavy_seed2_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,bdb6bf89ce64bca946a45ecd75c4f6c718dc6213,1.0,be41983d9b649a50532b9e0b7299304c3e8faf7e3707d9007423ac60104ef024,0,96,51.563022658228874,103.69502194225788,1.0,0.2520343580470163,1.0,1.0,0.7347423146473779,1.0,86.4,4.8,0,0,0,P0-2,False,0,8,3.878842676311031,8,1728,0,48,48,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,0.0,96,28,14.328209764918626,27,ea024ecd453b69fbd3976d37457aec67ca896a447fb286abb5e8a5bc94ce9aaf,10243.67447104305,18128.971906254686,0,27,12.85262206148282,25,prefill_heavy
86.4,prefill_heavy_seed2_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,bdb6bf89ce64bca946a45ecd75c4f6c718dc6213,1.0,d5b10031fa4170a50784bffaf0607ab57be0b32182f1a1deae507619302e0a77,0,96,49.921441823244095,103.17151267081502,0.625,0.19781553398058252,0.625,1.0,0.7904126213592233,1.0,86.4,4.8,0,0,0,P0-2,False,0,3,0.883495145631068,2,1728,0,49,47,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,0.05,96,20,14.218446601941748,20,ea024ecd453b69fbd3976d37457aec67ca896a447fb286abb5e8a5bc94ce9aaf,6975.405255022148,12201.200273757177,0,19,12.633980582524272,18,prefill_heavy
86.4,prefill_heavy_seed3_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,bdb6bf89ce64bca946a45ecd75c4f6c718dc6213,1.0,b655ee1f390d3caf87752b71a49545fba77ef056c800997813dcd693dc9cca00,0,96,51.13648064434528,101.29348671063781,1.0,0.2520343580470163,1.0,1.0,0.7347423146473779,1.0,86.4,4.8,0,0,0,P0-2,False,0,8,3.8860759493670884,8,1728,0,48,48,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,3,0.0,96,28,14.735081374321881,27,548a9b88b6b335e5d710e65cd1473b647b4d00d3f9352c90bdef800ef25ae3e9,10338.496929655472,19137.555230160553,0,27,13.259493670886076,26,prefill_heavy
86.4,prefill_heavy_seed3_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,bdb6bf89ce64bca946a45ecd75c4f6c718dc6213,1.0,334a5a7e5cd2762dfe072494740a3134cf7cea92ec86105a2f7ad3f0ff4df90d,0,96,53.94622124731541,111.46179996430888,0.75,0.17083333333333334,0.625,1.0,0.7966911764705882,1.0,86.4,4.8,0,0,0,P0-2,False,0,3,0.8470588235294118,3,1728,0,48,48,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,3,0.0,96,29,17.184313725490195,29,548a9b88b6b335e5d710e65cd1473b647b4d00d3f9352c90bdef800ef25ae3e9,12327.210276698072,19798.29066979388,0,27,15.584313725490196,27,prefill_heavy
268.8,balanced_seed1_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,bdb6bf89ce64bca946a45ecd75c4f6c718dc6213,1.0,842195c7b80f31c3eac9d4ef632502409c375d8877d48dc5cf4c9bad710e7704,0,96,45.616839081048965,108.75415988266468,1.0,0.11385050251256282,0.5,1.0,0.9308260050251256,1.0,268.8,4.8,0,0,0,P0-2,False,0,3,1.0615577889447236,3,5376,0,48,48,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,0.3,96,35,19.72927135678392,34,ace6497e2a31e80a7ccce203498970f8b0b67587e47ca7480c080a296e8c0837,15723.750822556514,28175.10579486067,0,32,16.412688442211056,31,balanced
268.8,balanced_seed1_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,bdb6bf89ce64bca946a45ecd75c4f6c718dc6213,1.0,1c23a67b4795bf3061dce9d5a25db129fc002e910df4211a876731b8b56d060d,0,96,35.85213702172041,88.56894820928574,0.625,0.11044117647058824,0.5,1.0,0.8783088235294118,1.0,268.8,4.8,0,0,0,P0-2,False,0,3,0.8305882352941176,3,5376,0,49,47,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,1,0.35,96,29,17.034117647058824,29,ace6497e2a31e80a7ccce203498970f8b0b67587e47ca7480c080a296e8c0837,8465.27630276978,15921.57429990669,0,26,13.928235294117647,26,balanced
268.8,balanced_seed2_round_robin,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,bdb6bf89ce64bca946a45ecd75c4f6c718dc6213,1.0,c44f3b3b946b6f88ff5952330e2095b99fe9ed9f5a48a31309d6ce4b188e82a1,0,96,30.938684940338135,64.74378705024719,1.0,0.11385050251256282,0.5,1.0,0.9308260050251256,1.0,268.8,4.8,0,0,0,P0-2,False,0,3,1.0628140703517588,3,5376,0,48,48,round_robin,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,0.85,96,24,15.307788944723619,24,d557db379811fb260bf1f1c5c364a944a2070fcff98fcfe90d369ae408819573,7947.555129726727,13265.499829749264,0,22,11.991206030150753,21,balanced
268.8,balanced_seed2_resource_aware,09d3f9d1d37a9d4b77de35e09b9cb051e718bfe1926b756f49debfed81f7f8ab,bdb6bf89ce64bca946a45ecd75c4f6c718dc6213,1.0,958b3afebbb793685c1c28565ea545005a1078061fbcecd09e09bdc68f8be0f1,0,96,47.051324509084225,108.03405568003654,1.0,0.10787037037037037,0.75,1.0,0.9195216049382716,1.0,268.8,4.8,0,0,0,P0-2,False,0,3,0.7407407407407407,2,5376,0,48,48,resource_aware,a50b90970ad29da86aecb23aab47b8b10fa10bb974b90a5aec56a906781f5158,2,0.3,96,35,19.749382716049382,34,d557db379811fb260bf1f1c5c364a944a2070fcff98fcfe90d369ae408819573,15250.4525349165,27415.53058776383,0,32,16.490123456790123,31,balanced
