policy,bucket_start_s,bucket_end_s,steps,kv_utilization_mean,waiting_requests_mean,prefill_steps,decode_steps,preemptions,recompute_tokens,finished_requests,kv_utilization_max,waiting_requests_max,oldest_waiting_age_max,modes
baseline,0.0,1.0,40,0.6125,0.325,5,35,0,0,0,0.75,1,4,"{""decode"": 35, ""prefill"": 5}"
baseline,1.0,2.0,48,0.8125,2.2291666666666665,19,29,11,1463,2,1.0,5,8,"{""decode"": 29, ""prefill"": 19}"
baseline,2.0,3.0,45,0.9805555555555555,7.2,41,4,29,6744,0,1.0,12,11,"{""decode"": 4, ""prefill"": 41}"
baseline,3.0,4.0,44,0.9744318181818182,11.272727272727273,44,0,34,5102,0,1.0,15,14,"{""prefill"": 44}"
baseline,4.0,5.0,42,0.9851190476190477,15.095238095238095,42,0,34,4931,0,1.0,17,19,"{""prefill"": 42}"
baseline,5.0,6.0,42,0.9940476190476191,15.19047619047619,42,0,34,5863,0,1.0,17,19,"{""prefill"": 42}"
baseline,6.0,7.0,42,0.9851190476190477,14.238095238095237,42,0,36,5611,1,1.0,17,19,"{""prefill"": 42}"
baseline,7.0,8.0,40,1.0,13.7,40,0,32,4603,0,1.0,16,17,"{""prefill"": 40}"
baseline,8.0,9.0,43,1.0,13.813953488372093,43,0,34,5354,0,1.0,16,17,"{""prefill"": 43}"
baseline,9.0,10.0,43,0.997093023255814,13.023255813953488,43,0,36,4717,1,1.0,16,17,"{""prefill"": 43}"
baseline,10.0,11.0,45,1.0,12.666666666666666,45,0,39,5663,0,1.0,15,16,"{""prefill"": 45}"
baseline,11.0,12.0,43,1.0,12.744186046511627,43,0,34,5388,0,1.0,15,16,"{""prefill"": 43}"
baseline,12.0,13.0,42,1.0,12.428571428571429,42,0,36,4891,0,1.0,15,16,"{""prefill"": 42}"
baseline,13.0,14.0,42,0.9970238095238095,12.642857142857142,42,0,34,5944,1,1.0,15,16,"{""prefill"": 42}"
baseline,14.0,15.0,43,0.997093023255814,11.30232558139535,43,0,34,5436,1,1.0,14,16,"{""prefill"": 43}"
baseline,15.0,16.0,42,0.9851190476190477,9.761904761904763,42,0,28,6417,5,1.0,13,14,"{""prefill"": 42}"
baseline,16.0,17.0,45,0.9888888888888889,5.311111111111111,37,8,23,7298,3,1.0,8,10,"{""decode"": 8, ""prefill"": 37}"
baseline,17.0,18.0,51,0.9901960784313726,1.9803921568627452,27,24,7,5303,3,1.0,5,10,"{""decode"": 24, ""prefill"": 27}"
baseline,18.0,19.0,50,0.96,1.66,22,28,4,4552,1,1.0,2,7,"{""decode"": 28, ""prefill"": 22}"
baseline,19.0,20.0,29,0.6724137931034483,0.10344827586206896,1,28,0,37,2,1.0,1,4,"{""decode"": 28, ""prefill"": 1}"
candidate,0.0,1.0,38,0.6118421052631579,0.34210526315789475,5,33,0,0,0,0.75,1,4,"{""baseline_decode"": 8, ""normal_decode"": 25, ""prefill"": 3, ""starvation_prefill"": 2}"
candidate,1.0,2.0,53,0.9150943396226415,1.5471698113207548,9,44,4,53,2,1.0,4,16,"{""baseline_decode"": 3, ""drain_decode"": 34, ""normal_decode"": 7, ""starvation_prefill"": 9}"
candidate,2.0,3.0,52,0.9975961538461539,5.461538461538462,20,32,19,553,1,1.0,9,24,"{""drain_decode"": 32, ""starvation_prefill"": 20}"
candidate,3.0,4.0,52,0.9326923076923077,9.846153846153847,23,29,22,831,1,1.0,13,24,"{""drain_decode"": 29, ""starvation_prefill"": 23}"
candidate,4.0,5.0,54,0.9513888888888888,11.962962962962964,11,43,11,178,1,1.0,13,53,"{""drain_decode"": 43, ""starvation_prefill"": 11}"
candidate,5.0,6.0,56,0.8727678571428571,12.0,0,56,0,0,1,0.875,12,109,"{""drain_decode"": 56}"
candidate,6.0,7.0,57,0.6096491228070176,12.0,0,57,0,0,1,0.875,12,166,"{""drain_decode"": 57}"
candidate,7.0,8.0,56,0.609375,8.571428571428571,1,55,0,229,2,0.75,12,216,"{""drain_decode"": 55, ""prefill"": 1}"
candidate,8.0,9.0,57,0.4868421052631579,6.0,0,57,0,0,2,0.625,6,273,"{""drain_decode"": 57}"
candidate,9.0,10.0,56,0.20982142857142858,6.0,0,56,0,0,2,0.375,6,329,"{""drain_decode"": 56}"
candidate,10.0,11.0,35,0.6071428571428571,0.8571428571428571,1,34,0,212,7,0.75,6,334,"{""drain_decode"": 4, ""normal_decode"": 30, ""prefill"": 1}"
